,Populations,r,pvalue
0,Africa-America,0.30997165144563754,1.629979085774164e-109
1,Africa-CentralAsiaSiberia,0.2543964425561971,3.5261236591149627e-73
2,Africa-EastAsia,0.3609668000545643,1.3795901107326092e-150
3,Africa-Oceania,0.3240529276970933,4.410160867191877e-120
4,Africa-SouthAsia,0.22937332847970357,1.8136032804133065e-59
5,Africa-WestEurasia,0.2947581578917185,9.899066318126053e-99
6,America-CentralAsiaSiberia,0.11597534607264667,3.9407473848562036e-16
7,America-EastAsia,0.2561996630325941,3.1445952035313355e-74
8,America-Oceania,0.2087683032646904,2.3881906815056848e-49
9,America-SouthAsia,0.23490410577775997,2.311808005288142e-62
10,America-WestEurasia,0.2478011910270299,2.067255858992583e-69
11,CentralAsiaSiberia-EastAsia,0.10138313425623931,1.1567576141264803e-12
12,CentralAsiaSiberia-Oceania,0.14061173239981825,4.8146563130799655e-23
13,CentralAsiaSiberia-SouthAsia,0.19070917520345368,2.5289506742937235e-41
14,CentralAsiaSiberia-WestEurasia,0.187874817655664,3.909259457769964e-40
15,EastAsia-Oceania,0.225772859873075,1.264749649972228e-57
16,EastAsia-SouthAsia,0.1906165193167275,2.7676654993268125e-41
17,EastAsia-WestEurasia,0.360898202816454,1.586128013854406e-150
18,Oceania-SouthAsia,0.150603367946079,3.119113998896489e-26
19,Oceania-WestEurasia,0.2787589880973859,4.4211043511621866e-88
20,SouthAsia-WestEurasia,0.133992818849345,4.696667976909114e-21
